Point: 0	Real:  1.032	             Image:   0.15699
Point: 1	Real:  0.69059	             Image:   0.12954
Point: 2	Real:  0.90134				 Image:   0.50975
Point: 3	Real:  0.63941	             Image:   0.31204
Point: 4	Real:  1.4853	             Image:   0.2065
Point: 5	Real:  0.33438	             Image:   0.072614
Point: 6	Real:  1.2991	             Image:   0.75803
Point: 7	Real:  0.31989	             Image:   0.087914
Point: 8	Real:  0.99577	             Image:   -0.27784
Point: 9	Real:  0.67361	             Image:   -0.2225
Point: 10	Real:  0.8326	             Image:   -0.61967
Point: 11	Real:  0.59155	             Image:   -0.39573
Point: 12	Real:  1.4448	             Image:   -0.38513
Point: 13	Real:  0.32863	             Image:   -0.11442
Point: 14	Real:  1.1969	             Image:   -0.91438
Point: 15	Real:  0.31143	             Image:   -0.13222
Point: 16	Real:  0.27596	             Image:   1.0076
Point: 17	Real:  0.21573	             Image:   0.67609
Point: 18	Real:  0.6198	             Image:   0.83071
Point: 19	Real:  0.39115	             Image:   0.59015
Point: 20	Real:  0.38451	             Image:   1.4612
Point: 21	Real:  0.11315	             Image:   0.32705
Point: 22	Real:  0.91246	             Image:   1.1991
Point: 23	Real:  0.13214	             Image:   0.31331
Point: 24	Real:  -0.15622	             Image:   1.0373
Point: 25	Real:  -0.14266	             Image:   0.70272
Point: 26	Real:  -0.52301	             Image:   0.90934
Point: 27	Real:  -0.32812	             Image:   0.63967
Point: 28	Real:  -0.21427	             Image:   1.4993
Point: 29	Real:  -0.077811	         Image:   0.34221
Point: 30	Real:  -0.77695	             Image:   1.3136
Point: 31	Real:  -0.096622	         Image:   0.32592
Point: 32	Real:  -0.27612	             Image:   -1.0102
Point: 33	Real:  -0.21521	             Image:   -0.68455
Point: 34	Real:  -0.62024	             Image:   -0.8302
Point: 35	Real:  -0.39078	             Image:   -0.59278
Point: 36	Real:  -0.38902	             Image:   -1.4684
Point: 37	Real:  -0.11913	             Image:   -0.33158
Point: 38	Real:  -0.9155	             Image:   -1.1998
Point: 39	Real:  -0.13359	             Image:   -0.31335
Point: 40	Real:  0.15532	             Image:   -1.0397
Point: 41	Real:  0.13294	             Image:   -0.70438
Point: 42	Real:  0.51958	             Image:   -0.90079
Point: 43	Real:  0.32161	             Image:   -0.63258
Point: 44	Real:  0.19837	             Image:   -1.5138
Point: 45	Real:  0.07322	             Image:   -0.33961
Point: 46	Real:  0.75967	             Image:   -1.3035
Point: 47	Real:  0.091221	             Image:   -0.32426
Point: 48	Real:  -1.0303	             Image:   -0.14665
Point: 49	Real:  -0.7018	             Image:   -0.13336
Point: 50	Real:  -0.90467	             Image:   -0.51085
Point: 51	Real:  -0.63577	             Image:   -0.32072
Point: 52	Real:  -1.4937	             Image:   -0.20741
Point: 53	Real:  -0.35222	             Image:   -0.072373
Point: 54	Real:  -1.3104	             Image:   -0.76471
Point: 55	Real:  -0.33264	             Image:   -0.091289
Point: 56	Real:  -1.0065	             Image:   0.28158
Point: 57	Real:  -0.68043	             Image:   0.2271
Point: 58	Real:  -0.84187	             Image:   0.63384
Point: 59	Real:  -0.59869	             Image:   0.40179
Point: 60	Real:  -1.4568	             Image:   0.39237
Point: 61	Real:  -0.33533	             Image:   0.12283
Point: 62	Real:  -1.2136	             Image:   0.92519
Point: 63	Real:  -0.31484	             Image:   0.13573
