Point: 0	Real:  1.0621	          Image:   0.070165
Point: 1	Real:  0.74621	          Image:   0.067834
Point: 2	Real:  1.4823	          Image:   0.13241
Point: 3	Real:  0.42395	          Image:   0.10299
Point: 4	Real:  0.94353	          Image:   0.49537
Point: 5	Real:  0.68868	          Image:   0.34546
Point: 6	Real:  1.311	          Image:   0.69791
Point: 7	Real:  0.40906	          Image:   0.16584
Point: 8	Real:  1.0021	          Image:   -0.33529
Point: 9	Real:  0.65782	          Image:   -0.24902
Point: 10	Real:  1.4167	          Image:   -0.44503
Point: 11	Real:  0.28171	          Image:   -0.10229
Point: 12	Real:  0.80403	          Image:   -0.68009
Point: 13	Real:  0.54071	          Image:   -0.43223
Point: 14	Real:  1.1428	          Image:   -0.95475
Point: 15	Real:  0.255	          Image:   -0.11285
Point: 16	Real:  0.2665	          Image:   1.0194
Point: 17	Real:  0.20708	          Image:   0.71069
Point: 18	Real:  0.40729	          Image:   1.4214
Point: 19	Real:  0.18082	          Image:   0.39266
Point: 20	Real:  0.66557	          Image:   0.8365
Point: 21	Real:  0.46713	          Image:   0.61078
Point: 22	Real:  0.93298	          Image:   1.1586
Point: 23	Real:  0.2382	          Image:   0.36487
Point: 24	Real:  -0.13819	          Image:   1.0389
Point: 25	Real:  -0.11964	          Image:   0.68739
Point: 26	Real:  -0.1672	          Image:   1.4731
Point: 27	Real:  -0.046103          Image:   0.29919
Point: 28	Real:  -0.50801	          Image:   0.91498
Point: 29	Real:  -0.31561	          Image:   0.6101
Point: 30	Real:  -0.7125	          Image:   1.3039
Point: 31	Real:  -0.05774	          Image:   0.27078
Point: 32	Real:  -0.27182	          Image:   -1.0232
Point: 33	Real:  -0.20999	          Image:   -0.71618
Point: 34	Real:  -0.41361	          Image:   -1.4223
Point: 35	Real:  -0.1868	          Image:   -0.39537
Point: 36	Real:  -0.67035	          Image:   -0.83701
Point: 37	Real:  -0.4738	          Image:   -0.61239
Point: 38	Real:  -0.93757	          Image:   -1.1577
Point: 39	Real:  -0.24897	          Image:   -0.37227
Point: 40	Real:  0.14467	          Image:   -1.0479
Point: 41	Real:  0.12014	          Image:   -0.6997
Point: 42	Real:  0.17016	          Image:   -1.4794
Point: 43	Real:  0.046408	          Image:   -0.29923
Point: 44	Real:  0.50763	          Image:   -0.92165
Point: 45	Real:  0.31766	          Image:   -0.61531
Point: 46	Real:  0.70674	          Image:   -1.3138
Point: 47	Real:  0.058794	          Image:   -0.27409
Point: 48	Real:  -1.0595	          Image:   -0.068947
Point: 49	Real:  -0.74526	          Image:   -0.067592
Point: 50	Real:  -1.4859	          Image:   -0.13268
Point: 51	Real:  -0.42587	          Image:   -0.11133
Point: 52	Real:  -0.95367	          Image:   -0.49949
Point: 53	Real:  -0.69288	          Image:   -0.34723
Point: 54	Real:  -1.3224	          Image:   -0.70212
Point: 55	Real:  -0.40873	          Image:   -0.17231
Point: 56	Real:  -0.9949	          Image:   0.33208
Point: 57	Real:  -0.65752	          Image:   0.24881
Point: 58	Real:  -1.4166	          Image:   0.44463
Point: 59	Real:  -0.28249	          Image:   0.099782
Point: 60	Real:  -0.80234	          Image:   0.66859
Point: 61	Real:  -0.54174	          Image:   0.42848
Point: 62	Real:  -1.1447	          Image:   0.94048
Point: 63	Real:  -0.25327	          Image:   0.10524
