Point: 0	Real:   1.0222	    Image:   0.14905
Point: 1	Real:   0.73131	    Image:   0.027968
Point: 2	Real:   1.3466	    Image:   0.37789
Point: 3	Real:   0.4446	    Image:   0.015958
Point: 4	Real:   0.88773	    Image:   0.5338
Point: 5	Real:   0.64211	    Image:   0.3768
Point: 6	Real:   1.146	    Image:   0.82283
Point: 7	Real:   0.46491	    Image:   0.26238
Point: 8	Real:   1.0498	    Image:   -0.24773
Point: 9	Real:   0.69742	    Image:   -0.27424
Point: 10	Real:   1.4352	    Image:   -0.092416
Point: 11	Real:   0.33692	    Image:   -0.22076
Point: 12	Real:   1.2359	    Image:   -0.58641
Point: 13	Real:   0.58234	    Image:   -0.52194
Point: 14	Real:   1.055	    Image:   -1.0036
Point: 15	Real:   0.78463	    Image:   -0.73561
Point: 16	Real:   0.28157	    Image:   1.0372
Point: 17	Real:   0.1925	    Image:   0.74629
Point: 18	Real:   0.32267	    Image:   1.4031
Point: 19	Real:   0.20448	    Image:   0.10687
Point: 20	Real:   0.63158	    Image:   0.8331
Point: 21	Real:   0.40681	    Image:   0.60715
Point: 22	Real:   0.79022	    Image:   1.1832
Point: 23	Real:   0.21729	    Image:   0.36519
Point: 24	Real:   -0.1236	    Image:   1.0404
Point: 25	Real:   -0.058697	Image:   0.73146
Point: 26	Real:   -0.1811	    Image:   1.4082
Point: 27	Real:   0.085514	Image:   0.038919
Point: 28	Real:   -0.44533	Image:   0.87397
Point: 29	Real:   -0.25264	Image:   0.56821
Point: 30	Real:   -0.62025	Image:   1.2239
Point: 31	Real:   -0.069912	Image:   0.3313
Point: 32	Real:   -0.43359	Image:   -0.93087
Point: 33	Real:   -0.23781	Image:   -0.6885
Point: 34	Real:   -0.74512	Image:   -1.1754
Point: 35	Real:   -0.13984	Image:   -0.41574
Point: 36	Real:   -0.76363	Image:   -0.69018
Point: 37	Real:   -0.54429	Image:   -0.50575
Point: 38	Real:   -1.1138	    Image:   -0.85272
Point: 39	Real:   -0.38499	Image:   -0.37178
Point: 40	Real:   -0.063057	Image:   -1.0745
Point: 41	Real:   0.067946	Image:   -0.75089
Point: 42	Real:   -0.32062	Image:   -1.3934
Point: 43	Real:   0.11901	    Image:   -0.3886
Point: 44	Real:   0.21036	    Image:   -1.3519
Point: 45	Real:   0.3392	    Image:   -0.70813
Point: 46	Real:   0.66863	    Image:   -1.2833
Point: 47	Real:   0.48496	    Image:   -0.95908
Point: 48	Real:   -1.0709	    Image:   0.027828
Point: 49	Real:   -0.77064	Image:   0.029984
Point: 50	Real:   -1.4336	    Image:   0.095238
Point: 51	Real:   -0.1583	    Image:   -0.15979
Point: 52	Real:   -0.97217	Image:   -0.36414
Point: 53	Real:   -0.69376	Image:   -0.21619
Point: 54	Real:   -1.3481	    Image:   -0.4106
Point: 55	Real:   -0.40437	Image:   -0.099824
Point: 56	Real:   -0.96227	Image:   0.41725
Point: 57	Real:   -0.69203	Image:   0.2683
Point: 58	Real:   -1.2981	    Image:   0.57806
Point: 59	Real:   -0.05507	Image:   -0.072955
Point: 60	Real:   -0.70846	Image:   0.68119
Point: 61	Real:   -0.4721	    Image:   0.40588
Point: 62	Real:   -0.99417	Image:   0.94881
Point: 63	Real:   -0.29474	Image:   0.16413
